"","NEST_NO","SPECIES","DATE","OBS","EGGNO","LENGTH","WIDTH","LINK","WEBTAG","WEIGHT","RADIO","TAGDATE","Year"
"191","ADS012","COEI",1994-05-28,"ADS",5,78,50.2,NA,0,0,0,NA,"1994"
"192","ADS012","COEI",1994-05-28,"ADS",6,78.3,49.3,NA,0,0,0,NA,"1994"
"193","ADS012","COEI",1994-05-28,"ADS",7,76.4,49.4,NA,0,0,0,NA,"1994"
"194","ADS013","COEI",1994-05-28,"ADS",1,75.5,48.5,NA,0,0,0,NA,"1994"
"195","ADS013","COEI",1994-05-28,"ADS",2,75,49.1,NA,0,0,0,NA,"1994"
"196","ADS013","COEI",1994-05-28,"ADS",3,77.1,47.6,NA,0,0,0,NA,"1994"
"197","ADS013","COEI",1994-05-28,"ADS",4,76,48.1,NA,0,0,0,NA,"1994"
"198","ADS013","COEI",1994-05-28,"ADS",5,74,48.8,NA,0,0,0,NA,"1994"
"199","ADS013","COEI",1994-05-28,"ADS",6,74.9,48.3,NA,0,0,0,NA,"1994"
"200","TLM028","SPEI",1994-05-29,"TLM",1,63.8,46,NA,0,0,0,NA,"1994"
"201","TLM028","SPEI",1994-05-29,"TLM",2,66.4,46.2,NA,0,0,0,NA,"1994"
"202","TLM028","SPEI",1994-05-29,"TLM",3,68.8,47,NA,0,0,0,NA,"1994"
"203","TLM028","SPEI",1994-05-29,"TLM",4,68.9,46.4,NA,0,0,0,NA,"1994"
"204","TLM028","SPEI",1994-05-29,"TLM",5,66.5,46.9,NA,0,0,0,NA,"1994"
"205","TLM028","SPEI",1994-05-29,"TLM",6,67.7,45.1,NA,0,0,0,NA,"1994"
"206","TLM029","SPEI",1994-05-29,"TLM",1,71.9,47.4,NA,0,0,0,NA,"1994"
"207","TLM029","SPEI",1994-05-29,"TLM",2,68.8,48.8,NA,0,0,0,NA,"1994"
"208","TLM029","SPEI",1994-05-29,"TLM",3,70.9,46.7,NA,0,0,0,NA,"1994"
"209","TLM029","SPEI",1994-05-29,"TLM",4,69.7,47.8,NA,0,0,0,NA,"1994"
"210","TLM029","SPEI",1994-05-29,"TLM",5,68.1,48.9,NA,0,0,0,NA,"1994"
