"","CAPTURE","FIRST_MARK","NASAL","SEX","NEST_NO","DATE","TIME","OBS","EASTING","NORTHING","ZONE","ASSOC","COMMENTS","Year","SPECIES","TARSALCODE","PLOT","RESIGHT","BAND #","RESIGHT_METHOD","Year Banded","...24","Culmen","Tarsus","Peviously had nasal disk?","...28","LAT","LON"
"90",FALSE,"NONE","NON","F","TLM033",1994-05-30,1015,"TLM",503000,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402935955321,-164.944809482403
"91",FALSE,"NONE","NON","F","TLM042",1994-05-30,1439,"TLM",502500,"6744500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358079962325,-164.95401434505
"92",FALSE,"NONE","NON","F","TLM043",1994-05-30,1453,"TLM",502500,"6744500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358079962325,-164.95401434505
"93",FALSE,"NONE","NON","F","ADS014",1994-05-30,900,"ADS",502500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402970569557,-164.954007898171
"94",FALSE,"NONE","NON","F","ADS017",1994-05-30,1145,"ADS",503000,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8402935955321,-164.944809482403
"95",FALSE,"NONE","NON","F","ADS022",1994-05-30,1400,"ADS",503000,"6744500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358045354431,-164.944817218655
"96",FALSE,"NONE","NON","F","TLM045",1994-05-31,1026,"TLM",502000,"6744000",0,"NEST","found earlier w/empty bowl","1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313217635245,-164.963216629366
"97",FALSE,"NONE","NON","F","TLM046",1994-05-31,1041,"TLM",502000,"6744000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313217635245,-164.963216629366
"98",FALSE,"TARSAL","NON","F","TLM047",1994-05-31,1132,"TLM",501500,"6744000",0,"NEST",NA,"1994",NA,"YEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313239654421,-164.972412470563
"99",FALSE,"NONE","NON","F","TLM050",1994-05-31,1310,"TLM",500500,"6744500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8358155470477,-164.990802867339
"100",FALSE,"NONE","NON","F","TLM051",1994-06-01,1019,"TLM",500500,"6745000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-164.990801577962
"101",FALSE,"TARSAL","NON","F","TLM001",1994-06-02,820,"TLM",499500,"6745000",0,"NEST",NA,"1994",NA,"YEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8403046091545,-165.009198422038
"102",FALSE,"TARSAL","NON","F","TLM004",1994-06-02,1437,"TLM",499500,"6745500",0,"NEST",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"103",FALSE,"TARSAL","NON","F","TLM052",1994-06-02,925,"TLM",5e+05,"6747000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8582611422811,-165
"104",FALSE,"TARSAL","NON","F","TLM053",1994-06-02,1352,"TLM",5e+05,"6746000",0,"NEST","may have steel rod in nares","1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"105",FALSE,"NONE","NON","F","ADS025",1994-06-02,1155,"ADS",5e+05,"6746000",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492830390959,-165
"106",FALSE,"NONE","NON","F","ADS001",1994-06-02,1415,"ADS",499500,"6745500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447936682404,-165.009199711832
"107",FALSE,"NONE","NON","F","TLM054",1994-06-03,812,"TLM",500500,"67445000",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67.2317048791783,14.9884224667997
"108",FALSE,"NONE","NON","F","TLM067",1994-06-03,1317,"TLM",501000,"6743500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.826836470264,-164.981610890095
"109",FALSE,"NONE","NON","F","TLM070",1994-06-03,1500,"TLM",500500,"6744000",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8313264819197,-164.990804156298
"110",FALSE,"NONE","NON","F","TLM007",1994-06-03,1342,"TLM",500500,"6743500",0,"NEST",NA,"1994",NA,"NON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8268374137702,-164.990805444839
"111",FALSE,"NONE","NON","F","TLM071",1994-06-04,938,"TLM",502500,"6746500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8537642209983,-164.953988544993
"112",FALSE,"TARSAL","NON","F","TLM073",1994-06-04,1320,"TLM",503000,"6745500",0,"NEST",NA,"1994",NA,"PRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447826525995,-164.944801743643
"113",FALSE,"NONE","NON","F","TLM074",1994-06-04,1409,"TLM",502500,"6745500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8447861146575,-164.954001449203
"114",FALSE,"NONE","NON","F","ADS027",1994-06-04,925,"ADS",502500,"6746500",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8537642209983,-164.953988544993
"115",FALSE,"NONE","NON","F","ADS028",1994-06-04,1025,"ADS",502500,"6746000",0,"NEST",NA,"1994",NA,"UNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.8492751693382,-164.953994998144
